Date,close,signal,actual,market_return,strategy_return,market_value,strategy_value
2024-03-22,170.72625732421875,1,0,0.005310246580856548,0.005310246580856548,9294.674238278836,9711.627462990979
2024-03-25,169.3091278076172,1,0,-0.00830059499231195,-0.00830059499231195,9217.522911841408,9631.015176704477
2024-03-26,168.179443359375,0,1,-0.006672318633203389,-0.006672318633203389,9156.02066196475,9566.753974684289
2024-03-27,171.7469482421875,1,0,0.02121249072747422,0.0,9350.24266535724,9566.753974684289
2024-03-28,169.93345642089844,1,0,-0.010559091965533951,-0.010559091965533951,9251.512593153673,9465.73773965396
2024-04-01,168.49652099609375,1,0,-0.008455871227885936,-0.008455871227885936,9173.2829940028,9385.696680250505
2024-04-02,167.31727600097656,1,1,-0.006998631117995147,-0.006998631117995147,9109.082570186798,9320.00965140004
2024-04-03,168.11996459960938,1,0,0.0047974041761720265,0.0047974041761720265,9152.782520950106,9364.72150462363
2024-04-04,167.29747009277344,1,1,-0.00489230716170308,-0.00489230716170308,9108.004297473351,9318.906410539204
2024-04-05,168.05059814453125,1,0,0.004501730070037402,0.004501730070037402,9149.006074297318,9360.857611747395
2024-04-08,166.93077087402344,1,1,-0.006663631566159123,-0.006663631566159123,9088.040468621648,9298.480305479434
2024-04-09,168.1397705078125,1,0,0.0072425211209348195,0.0072425211209348195,9153.860793663553,9365.824745484464
2024-04-10,166.26683044433594,1,1,-0.011139185320759859,-0.011139185320759859,9051.894241882495,9261.497087962754
2024-04-11,173.4613494873047,1,1,0.04327092194962723,0.04327092194962723,9443.578051119273,9662.25060559269
2024-04-12,174.95774841308594,1,0,0.00862669943595007,0.00862669943595007,9525.044960566214,9745.603937441965
2024-04-15,171.132568359375,1,0,-0.021863450395346096,-0.021863450395346096,9316.794612557434,9532.531409183013
2024-04-16,167.8524169921875,1,0,-0.019167312210842558,-0.019167312210842558,9138.21670141425,9349.818403503541
2024-04-17,166.48486328125,1,0,-0.008147357872130945,-0.008147357872130945,9063.764379634744,9273.64208693076
2024-04-18,165.5335235595703,1,0,-0.005714271573581731,-0.005714271573581731,9011.971568490555,9220.649977569841
2024-04-19,163.5119171142578,1,1,-0.01221267089493805,-0.01221267089493805,8901.91132561004,9108.041213956363
2024-04-22,164.34432983398438,1,1,0.0050908382362424565,0.0050908382362424565,8947.229516162097,9154.408778425643
2024-04-23,165.394775390625,1,1,0.006391735922387731,0.006391735922387731,9004.417844466398,9212.921341862928
2024-04-24,167.49566650390625,1,1,0.012702282211269456,0.012702282211269456,9118.794501074999,9329.946468737498
2024-04-25,168.35780334472656,1,0,0.005147218783718266,0.005147218783718266,9165.7309314158,9377.96974445247
2024-04-26,167.77313232421875,1,1,-0.003472788364378032,-0.003472788364378032,9133.90028768616,9345.402040242447
2024-04-29,171.93524169921875,1,0,0.024807961306681614,0.024807961306681614,9360.493732602166,9577.242412452164
2024-04-30,168.7938232421875,1,0,-0.01827093983749306,-0.01827093983749306,9189.468714764562,9402.257192525165
2024-05-01,167.77313232421875,1,1,-0.006046968416043574,-0.006046968416043574,9133.90028768616,9345.402040242447
2024-05-02,171.469482421875,1,1,0.022031835768036467,0.022031835768036467,9335.136878746081,9551.298403179342
2024-05-03,181.7261505126953,1,0,0.05981628885765988,0.05981628885765988,9893.530122810951,10122.621627429622
2024-05-06,180.07119750976562,1,1,-0.009106851150814776,-0.009106851150814776,9803.43121662641,10030.436419012603
2024-05-07,180.7549591064453,1,1,0.003797173596530312,0.003797173596530312,9840.656546797583,10068.523727344555
2024-05-08,181.0919189453125,1,1,0.0018641803275158964,0.0018641803275158964,9859.001305141965,10087.293271204197
2024-05-09,182.90541076660156,1,0,0.010014206221077737,0.010014206221077737,9957.731377345532,10188.309506234526
2024-05-10,181.64517211914062,1,1,-0.0068901113541637304,-0.0068901113541637304,9889.12149932077,10118.110919225885
2024-05-13,184.85035705566406,0,1,0.017645307602346616,0.017645307602346616,10063.618090093265,10296.648098750287
2024-05-14,185.99151611328125,0,1,0.0061734208999852935,0.0,10125.745040340118,10296.648098750287
2024-05-15,188.26397705078125,0,1,0.012218089217122863,0.0,10249.462296632832,10296.648098750287
2024-05-16,188.38304138183594,1,1,0.0006324328898170695,0.0,10255.944393692162,10296.648098750287
2024-05-17,188.41282653808594,1,1,0.00015810954123862686,0.00015810954123862686,10257.565956355216,10298.276097057476
2024-05-20,189.57383728027344,1,1,0.006162057878542626,0.006162057878542626,10320.773671471246,10361.734670416758
2024-05-21,190.87379455566406,1,0,0.006857260970398071,0.006857260970398071,10391.545909952938,10432.787789157826
2024-05-22,189.43492126464844,1,0,-0.00753834906653994,-0.00753834906653994,10313.210809542737,10354.14179306602
2024-05-23,185.44578552246094,1,1,-0.021058080081309383,-0.021058080081309383,10096.034390419962,10136.103446014404
2024-05-24,188.52195739746094,1,1,0.016587984819031787,0.016587984819031787,10263.50725562067,10304.240976101028
2024-05-28,188.53189086914062,1,1,5.2691324749831736e-05,5.2691324749831736e-05,10264.048053414548,10304.7839202086
2024-05-29,188.82960510253906,1,1,0.0015791186945930402,0.0015791186945930402,10280.256203577896,10321.056397140743
2024-05-30,189.82191467285156,1,1,0.005255052933959448,0.005255052933959448,10334.279494102362,10375.294094842098
2024-05-31,190.7745361328125,1,1,0.005018500954448557,0.005018500954448557,10386.142085607053,10427.362518159749
2024-06-03,192.54087829589844,1,1,0.009258794170812434,0.009258794170812434,10482.305237406501,10523.907321459834
2024-06-04,192.85841369628906,1,1,0.0016491843353005908,0.0016491843353005908,10499.592491001873,10541.263184560541
2024-06-05,194.3667449951172,1,0,0.007820925568761572,0.007820925568761572,10581.709022376326,10623.705619327715
2024-06-06,192.98744201660156,1,1,-0.00709639387411809,-0.00709639387411809,10506.617047292235,10548.315619850284
2024-06-07,195.3789520263672,1,0,0.01239204989078968,0.01239204989078968,10636.815569925702,10679.030873275264
2024-06-10,191.6378631591797,1,1,-0.01914786023973869,-0.01914786023973869,10433.143311996888,10474.550282617934
2024-06-11,205.5601806640625,1,1,0.07264909593214641,0.07264909593214641,11191.101741343982,11235.516890945935
2024-06-12,211.4347686767578,1,1,0.028578433788671642,0.028578433788671642,11510.92590148127,11556.610366495337
2024-06-13,212.59576416015625,1,0,0.005491033904519993,0.005491033904519993,11574.13278587872,11620.06810583909
2024-06-14,210.85922241210938,1,1,-0.008168280092065605,-0.008168280092065605,11479.592027460905,11525.152134861719
2024-06-17,215.0071258544922,1,0,0.01967143478446509,0.01967143478446509,11705.412073381367,11751.868413463688
2024-06-18,212.6453857421875,1,0,-0.010984473667644878,-0.010984473667644878,11576.834282692376,11622.780324330368
2024-06-20,208.07077026367188,1,0,-0.021512883820869355,-0.021512883820869355,11327.783191755358,11372.740801537562
2024-06-21,205.8975830078125,1,1,-0.010444462012157985,-0.010444462012157985,11209.47059052711,11253.958642261783
2024-06-24,206.5426025390625,1,1,0.0031327202671704857,0.0031327202671704857,11244.586726230304,11289.214146586295
2024-06-25,207.4654998779297,1,1,0.004468314660132311,0.004468314660132311,11294.831077946248,11339.65790765886
2024-06-26,211.61337280273438,1,1,0.019993073196484357,0.019993073196484357,11520.649462429554,11566.372518229777
2024-06-27,212.4568634033203,1,0,0.003985998566226057,0.003985998566226057,11566.57075466879,11612.476062503878
2024-06-28,209.0035400390625,1,1,-0.0162542330190677,-0.0162542330190677,11378.56501839087,11423.724170655594
2024-07-01,215.0865020751953,1,1,0.02910458853948561,0.02910458853948561,11709.73347142092,11756.206962231101
2024-07-02,218.57949829101562,1,1,0.016239960118925367,0.016239960118925367,11899.899076000042,11947.127294447568
2024-07-03,219.84967041015625,1,1,0.005811030444628162,0.005811030444628162,11969.04975181868,12016.552414881451
2024-07-05,224.6029052734375,1,1,0.02162038657785348,0.02162038657785348,12227.825234422562,12276.354923424227
2024-07-08,226.0715789794922,1,1,0.00653897911189838,0.00653897911189838,12307.782728214395,12356.629751838747
2024-07-09,226.92495727539062,1,1,0.0037748145952298806,0.0037748145952298806,12354.242326091779,12403.27373817384
2024-07-10,231.1919708251953,1,0,0.018803632712052654,0.018803632712052654,12586.546961227303,12636.500341973511
2024-07-11,225.82347106933594,1,1,-0.023220961077054514,-0.023220961077054514,12294.275244146125,12343.06865938236
2024-07-12,228.7706756591797,1,1,0.013050922368201823,0.013050922368201823,12454.72687593078,12504.157090241344
2024-07-15,232.60105895996094,1,1,0.01674333167808495,0.01674333167808495,12663.260498974449,12713.518339758131
2024-07-16,233.01785278320312,1,0,0.001791882741659867,0.001791882741659867,12685.951576915704,12736.29947385692
2024-07-17,227.12342834472656,1,0,-0.025296020747220038,-0.025296020747220038,12365.047482627815,12414.121778123428
2024-07-18,222.45950317382812,1,1,-0.0205347603498639,-0.0205347603498639,12111.134195857365,12159.200762455637
2024-07-19,222.58848571777344,1,0,0.000579802355507919,0.000579802355507919,12118.156259991994,12166.250695698804
2024-07-22,222.2412109375,1,1,-0.0015601650694265778,-0.0015601650694265778,12099.249935889302,12147.269336337487
2024-07-23,223.2831268310547,1,0,0.004688220916181374,0.004688220916181374,12155.973892508844,12204.218418514594
2024-07-24,216.86277770996094,1,0,-0.028754296001737956,-0.028754296001737956,11806.437421014247,11853.294709638763
2024-07-25,215.8208465576172,0,1,-0.004804564265690869,-0.004804564265690869,11749.712633676127,11796.344793446131
2024-07-26,216.2872314453125,0,1,0.0021609816434984275,0.0,11775.103546993882,11796.344793446131
2024-07-29,216.56509399414062,0,1,0.0012846923369971286,0.0,11790.230932288052,11796.344793446131
2024-07-30,217.1208038330078,0,1,0.002566017582142033,0.0,11820.48487215782,11796.344793446131
2024-07-31,220.3756103515625,0,0,0.014990763027286969,0.0,11997.682959743966,11796.344793446131
2024-08-01,216.68417358398438,1,1,-0.016750659302493642,-0.0,11796.713860065962,11796.344793446131
2024-08-02,218.1726531982422,1,0,0.006869350860462697,0.006869350860462697,11877.74962657124,11877.378024703306
2024-08-05,207.66392517089844,1,0,-0.04816702677120133,-0.04816702677120133,11305.633742326556,11305.280039415744
2024-08-06,205.63958740234375,1,1,-0.009748143626240102,-0.009748143626240102,11195.42480082069,11195.074545856654
2024-08-07,208.209716796875,1,1,0.012498222871370812,0.012498222871370812,11335.34771512102,11334.99308259238
2024-08-08,211.67291259765625,1,1,0.016633209314433017,0.016633209314433017,11523.890926318507,11523.530395112788
2024-08-09,214.5804443359375,0,1,0.013735965091612012,0.013735965091612012,11682.182689801963,11681.817206352187
2024-08-12,216.11038208007812,0,1,0.007129902954928324,0.0,11765.475518681993,11681.817206352187
2024-08-13,219.8259735107422,0,1,0.017193026058726302,0.0,11967.759645868,11681.817206352187
2024-08-14,220.27305603027344,0,1,0.0020338020680226165,0.0,11992.099700185363,11681.817206352187
2024-08-15,223.25344848632812,0,1,0.013530444938508746,0.0,12154.35814487583,11681.817206352187
2024-08-16,224.5747833251953,1,0,0.005918541674612143,0.0,12226.294220084439,11681.817206352187
2024-08-19,224.41583251953125,1,1,-0.0007077856351925815,-0.0007077856351925815,12217.640624663825,11673.548983940585
2024-08-20,225.0317840576172,0,0,0.0027446884258146564,0.0027446884258146564,12251.174241477103,11705.589238724988
2024-08-21,224.92250061035156,1,0,-0.00048563560797987293,-0.0,12245.224635025876,11705.589238724988
2024-08-22,223.06471252441406,1,1,-0.008259680916298695,-0.008259680916298695,12144.082986792162,11608.904806675859
2024-08-23,225.35963439941406,1,1,0.010288143960685003,0.010288143960685003,12269.023060830787,11728.33889055283
2024-08-26,225.69740295410156,1,1,0.001498797935076679,0.001498797935076679,12287.411847259767,11745.91730066387
2024-08-27,226.5418701171875,1,0,0.003741590076061563,0.003741590076061563,12333.386305487957,11789.865708270276
2024-08-28,225.01193237304688,1,1,-0.00675344360558694,-0.00675344360558694,12250.093476607926,11710.24351509203
2024-08-29,228.29039001464844,1,0,0.014570150156153483,0.014570150156153483,12428.57917798902,11880.863521472043
2024-08-30,227.50555419921875,1,0,-0.00343788372072662,-0.00343788372072662,12385.851167961251,11840.0184941834
2024-09-03,221.31617736816406,1,0,-0.02720538781059767,-0.02720538781059767,12048.889283572522,11517.906199364492
2024-09-04,219.40870666503906,1,1,-0.008618758582441433,-0.008618758582441433,11945.042815650844,11418.636146456964
2024-09-05,220.92874145507812,1,0,0.0069278690583580715,0.0069278690583580715,12027.796508174153,11497.742962504653
2024-09-06,219.3789520263672,1,1,-0.007014883706410235,-0.007014883706410235,11943.422914424944,11417.087632736488
2024-09-09,219.4683380126953,1,0,0.0004074501473476655,0.0004074501473476655,11948.289263851262,11421.739526774725
2024-09-10,218.67355346679688,1,1,-0.0036214086874456486,-0.0036214086874456486,11905.019625311037,11380.376740026722
2024-09-11,221.2069091796875,1,1,0.011585103332009794,0.011585103332009794,12042.94050783987,11512.219580517134
2024-09-12,221.31617736816406,1,0,0.0004939637232930227,0.0004939637232930227,12048.88928357252,11517.906199364492
2024-09-13,221.04795837402344,1,0,-0.0012119267435856118,-0.0012119267435856118,12034.286912419257,11503.947340811372
2024-09-16,214.9082794189453,1,1,-0.02777532531962812,-0.02777532531962812,11700.030678437068,11184.421460960466
2024-09-17,215.37521362304688,1,1,0.0021727138915448307,0.0021727138915448307,11725.45149762361,11208.722008837585
2024-09-18,219.24977111816406,1,1,0.017989802215117034,0.017989802215117034,11936.390050948807,11410.364700860804
2024-09-19,227.3763885498047,1,0,0.03706556859875043,0.03706556859875043,12378.819135203692,11833.296356417322
2024-09-20,226.7107391357422,1,0,-0.0029275221508617832,-0.0029275221508617832,12342.579867983872,11798.654119216199
2024-09-23,224.99205017089844,1,1,-0.007580977290249535,-0.007580977290249535,12249.011050301595,11709.208790282912
2024-09-24,225.88616943359375,1,0,0.00397400380153945,0.00397400380153945,12297.688666780592,11755.741230528516
2024-09-25,224.89268493652344,1,1,-0.004398164347828248,-0.004398164347828248,12243.601410925667,11704.037548566112
2024-09-26,226.0352020263672,1,1,0.005080276800315753,0.005080276800315753,12305.802295125904,11763.497298994116
2024-09-27,226.30340576171875,1,1,0.0011865573722462663,0.0011865573722462663,12320.403835560592,11777.455363437637
2024-09-30,231.47943115234375,0,0,0.02287206139564235,0.02287206139564235,12602.19686850664,12046.83004559462
2024-10-01,224.73374938964844,1,1,-0.02914160333431859,-0.0,12234.94864622363,12046.83004559462
2024-10-02,225.30001831054688,1,0,0.0025197324497827633,0.0025197324497827633,12265.777443348945,12077.18483417752
2024-10-03,224.197265625,1,1,-0.004894596519858574,-0.004894596519858574,12205.741411761368,12018.071887318467
2024-10-04,225.31991577148438,1,0,0.005007421225030173,0.005007421225030173,12266.860700373853,12078.251435570963
2024-10-07,220.2432403564453,0,1,-0.02253096623818973,-0.02253096623818973,11990.476476085152,11806.116760259749
2024-10-08,224.296630859375,1,1,0.01840415395437156,0.0,12211.151051137294,11806.116760259749
2024-10-09,228.04202270507812,1,0,0.01669838655780498,0.01669838655780498,12415.05757170493,12003.259861669147
2024-10-10,227.54525756835938,1,0,-0.0021783929594467732,-0.0021783929594467732,12388.012697699602,11977.112044896077
2024-10-11,226.0650177001953,1,1,-0.006505254752318335,-0.006505254752318335,12307.425519226112,11899.197879846968
2024-10-14,229.79052734375,1,1,0.016479814884474475,0.016479814884474475,12510.249613487415,12095.294458180577
2024-10-15,232.3238983154297,1,0,0.01102469714902532,0.01102469714902532,12648.171326734826,12228.641416510301
2024-10-16,230.2673797607422,1,1,-0.008851945794639438,-0.008851945794639438,12536.210399749254,12120.39414554927
2024-10-17,230.63497924804688,1,1,0.0015964027891690602,0.0015964027891690602,12556.223240997024,12139.743176569053
2024-10-18,233.46636962890625,1,1,0.012276500252003109,0.012276500252003109,12710.369718779331,12288.776736735455
2024-10-21,234.93670654296875,1,0,0.006297853161462141,0.006297853161462141,12790.417760896098,12366.169648157407
2024-10-22,234.32077026367188,1,0,-0.002621711559509854,-0.002621711559509854,12756.884974801396,12333.749118243973
2024-10-23,229.2540283203125,1,0,-0.021623102116205772,-0.021623102116205772,12481.041548306575,12067.05520158452
2024-10-24,229.06529235839844,1,1,-0.0008232612674110573,-0.0008232612674110573,12470.766390222907,12057.120862425343
2024-10-25,229.89981079101562,1,1,0.0036431465632580373,0.0036431465632580373,12516.199219938642,12101.046720858076
2024-10-28,231.87681579589844,1,1,0.008599419886778259,0.008599419886778259,12623.831272417461,12205.108702680254
2024-10-29,232.1450653076172,1,0,0.0011568621502671128,0.0011568621502671128,12638.435305007877,12219.22833097828
2024-10-30,228.59837341308594,1,0,-0.01527791206688589,-0.01527791206688589,12445.346401754941,12032.544035012394
2024-10-31,224.43572998046875,1,0,-0.01820941842440471,-0.01820941842440471,12218.723881688727,11813.438405968776
2024-11-01,221.4552764892578,1,0,-0.013279763839163738,-0.013279763839163738,12056.462114123951,11656.558733809004
2024-11-04,220.56114196777344,1,1,-0.004037539929773293,-0.004037539929773293,12007.783666926378,11609.494912477503
2024-11-05,221.99176025390625,1,0,0.0064862662269939975,0.0064862662269939975,12085.669348586212,11684.797187240765
2024-11-06,221.26651000976562,1,1,-0.0032670142500383914,-0.0032670142500383914,12046.185294603129,11646.622788321241
2024-11-07,225.99545288085938,1,0,0.021372158266901975,0.021372158266901975,12303.638273231814,11895.53625382815
2024-11-08,225.7269287109375,1,0,-0.0011881839501586278,-0.0011881839501586278,12289.019287707002,11881.40216857282
2024-11-11,223.01173400878906,0,0,-0.012028669851905316,-0.012028669851905316,12141.198731891478,11738.484704509347
2024-11-12,223.01173400878906,1,1,0.0,0.0,12141.198731891478,11738.484704509347
2024-11-13,223.89691162109375,1,1,0.003969197478504993,0.003969197478504993,12189.38954728413,11785.077068399954
2024-11-14,226.98007202148438,1,0,0.013770446309721018,0.013770446309721018,12357.242881593282,11947.362839426281
2024-11-15,223.77757263183594,1,1,-0.014109165448433325,-0.014109165448433325,12182.892497290408,11778.795520452351
2024-11-18,226.7811737060547,1,1,0.013422261395069857,0.013422261395069857,12346.414464937074,11936.893592846942
2024-11-19,227.03973388671875,1,1,0.0011401307103171554,0.0011401307103171554,12360.490991230852,11950.503211817935
2024-11-20,227.75582885742188,1,0,0.0031540513127117364,0.0031540513127117364,12399.476614067506,11988.195712160736
2024-11-21,227.27845764160156,1,1,-0.002095978040233426,-0.002095978040233426,12373.487583374032,11963.068717206026
2024-11-22,228.62110900878906,1,1,0.005907517065716572,0.005907517065716572,12446.584172435247,12033.74074981126
2024-11-25,231.60479736328125,1,1,0.013050799934565482,0.013050799934565482,12609.022052338427,12190.790692801476
2024-11-26,233.78292846679688,1,0,0.009404516349888592,0.009404516349888592,12727.60380638575,12305.439183189997
2024-11-27,233.6536102294922,1,1,-0.000553155177552056,-0.000553155177552056,12720.563466442416,12298.632365793763
2024-11-29,236.0405731201172,1,1,0.010215818571262636,0.010215818571262636,12850.514434939823,12424.27296271737
2024-12-02,238.28829956054688,1,1,0.009522627447976273,0.009522627447976273,12972.885096418597,12542.584685453294
2024-12-03,241.3316650390625,1,1,0.012771778908692744,0.012771778908692744,13138.57191667793,12702.775803999457
2024-12-04,241.68971252441406,1,1,0.0014836324329574602,0.0014836324329574602,13158.064728096257,12721.622054170857
2024-12-05,241.7195587158203,1,0,0.0001234897054347428,0.0001234897054347428,13159.68961363362,12723.19304353098
2024-12-06,241.5206298828125,1,1,-0.0008229736727332071,-0.0008229736727332071,13148.859535540261,12712.722190623052
2024-12-09,245.40940856933594,1,1,0.016101227826419207,0.016101227826419207,13360.572318579578,12917.41262690825
2024-12-10,246.42385864257812,1,0,0.0041337048940224275,0.0041337048940224275,13415.80098175983,12970.809398702208
2024-12-11,245.1508331298828,1,1,-0.005165999427603096,-0.005165999427603096,13346.494961567223,12903.802204772963
2024-12-12,246.61282348632812,1,1,0.005963636092032987,0.005963636092032987,13426.08860062216,12980.755785325802
2024-12-13,246.78192138671875,1,1,0.000685681701381613,0.000685681701381613,13435.294623896736,12989.656452037903
2024-12-16,249.6761016845703,0,1,0.01172768362280574,0.01172768362280574,13592.859508624979,13141.995033276342
2024-12-17,252.1028289794922,1,0,0.009719501700597988,0.0,13724.975329735049,13141.995033276342
2024-12-18,246.7023468017578,1,1,-0.021421743657520365,-0.021421743657520365,13430.962426515673,12860.47058452509
2024-12-19,248.43287658691406,1,1,0.007014646628176857,0.007014646628176857,13525.175881814002,12950.682241147597
2024-12-20,253.1073455810547,1,1,0.01881582284261496,0.01881582284261496,13779.663195121424,13194.359983888031
2024-12-23,253.8831024169922,1,1,0.003064932130502296,0.003064932130502296,13821.896927595652,13234.799801744064
2024-12-24,256.7972106933594,1,1,0.011478149780842495,0.011478149780842495,13980.546730785962,13386.710816187948
2024-12-26,257.6127014160156,1,0,0.0031756214191516197,0.0031756214191516197,14024.943654435696,13429.221941787824
2024-12-27,254.2013702392578,1,0,-0.013242092326996358,-0.013242092326996358,13839.224055682736,13251.390944954945
2024-12-30,250.82977294921875,1,0,-0.013263489834321796,-0.013263489834321796,13655.667648105287,13075.63125586591
2024-12-31,249.05946350097656,1,0,-0.007057812266172192,-0.007057812266172192,13559.28850947572,12983.345905200315
